City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
4,Garissa,KE,79.18,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
8,Vaini,TO,78.96,light rain,-21.2,-175.2,Keleti Beach Resort
15,Rikitea,PF,73.22,light rain,-23.1203,-134.9692,People ThankYou
18,Karratha,AU,71.98,clear sky,-20.7377,116.8463,ibis Styles Karratha
25,Butaritari,KI,81.54,light rain,3.0707,172.7902,Isles Sunset Lodge
27,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
28,Ixtapa,MX,85.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
29,San Patricio,US,86.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
31,Mount Isa,AU,78.57,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
32,King City,US,71.78,overcast clouds,36.2127,-121.126,Days Inn by Wyndham King City
34,Atuona,PF,78.73,clear sky,-9.8,-139.0333,Villa Enata
36,Keti Bandar,PK,77.83,clear sky,24.1447,67.4497,Haji laloo memon house
37,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
38,Thinadhoo,MV,82.54,overcast clouds,0.5333,72.9333,
42,Ponerihouen,NC,78.49,few clouds,-21.0833,165.4,Camping de Tiakan
43,Am Timan,TD,79.03,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
45,Sao Filipe,CV,79.74,overcast clouds,14.8961,-24.4956,Hotel Xaguate
49,Hirara,JP,71.46,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
51,Batangafo,CF,75.74,broken clouds,7.3008,18.2833,OCHA Office
53,Kampot,KH,78.85,broken clouds,10.6167,104.1833,Two Moons Hotel
56,Nabire,ID,76.84,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
59,Chake Chake,TZ,76.69,few clouds,-5.2459,39.7666,Hotel Archipelago
63,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
64,Iberia,US,78.06,clear sky,29.9502,-91.7507,back to back rv park
65,Nishihara,JP,70.88,scattered clouds,26.1842,127.7558,Minshuku Agaihama
66,Bathsheba,BB,75.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
71,Kapaa,US,82.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
73,Alyangula,AU,84.11,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
76,Ponta Do Sol,PT,74.03,broken clouds,32.6667,-17.1,Hotel do Campo
79,Sorong,ID,79.38,overcast clouds,-0.8833,131.25,waigo splash hotel
81,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
84,Tshikapa,CD,71.47,broken clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
86,Araouane,ML,86.83,overcast clouds,18.9048,-3.5265,
89,Conceicao Do Araguaia,BR,76.39,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
96,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
97,Dingle,PH,75.04,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
100,Sola,VU,80.64,few clouds,-13.8833,167.55,Leumerus Bungalows
101,Almeirim,BR,84.09,broken clouds,-1.5233,-52.5817,Ricácio Hotel
102,Hithadhoo,MV,82.31,overcast clouds,-0.6,73.0833,Scoop Guest House
104,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
110,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
111,Bilma,NE,80.26,clear sky,18.6853,12.9164,Expeditions Ténére voyages
113,Samarai,PG,83.26,overcast clouds,-10.6167,150.6667,Nuli Sapi
114,Mumbwa,ZM,74.77,scattered clouds,-14.9783,27.0619,Mumbwa Motel
118,Dicabisagan,PH,76.87,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
122,Yurimaguas,PE,91.56,scattered clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
123,Turan,VN,76.98,scattered clouds,16.0678,108.2208,Sun River Hotel
124,Fayetteville,US,70.25,clear sky,35.0527,-78.8784,American Eagle Inn
126,Bengkulu,ID,76.17,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
128,Damaturu,NG,81.21,broken clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
129,Diffa,NE,84.45,scattered clouds,13.3154,12.6113,ProDAF/Diffa
133,Muli,MV,82.58,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
134,Ribeira Grande,PT,70.81,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
136,Malakal,SS,79.21,scattered clouds,9.5334,31.6605,Nile Palace Hotel
138,Roebourne,AU,71.28,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
140,Cayenne,GF,82.44,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
141,Ipu,BR,81.73,moderate rain,-4.3222,-40.7108,Our hostel Corner
144,Matara,LK,77.04,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
145,San Policarpo,PH,80.4,broken clouds,12.1791,125.5072,Agapita M. Nicart
149,Port Moresby,PG,83.62,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
150,Arraial Do Cabo,BR,70.81,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
152,Siavonga,ZM,82.63,clear sky,-16.5382,28.7088,Lavongora Waterfront Lodge
154,Kuching,MY,75.42,few clouds,1.55,110.3333,The Ranee Boutique Suites
157,Sinnamary,GF,78.31,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
162,Labuhan,ID,80.51,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
163,Gat,IL,83.08,broken clouds,31.61,34.7642,OlusHome
164,Mabay,PH,77.25,broken clouds,6.0577,124.4666,Bautista Lodging House
166,West Bay,KY,81.07,broken clouds,19.3667,-81.4167,Calypso Cove
167,Sokoni,TZ,79.66,scattered clouds,-6.4333,39.55,Ujamaa Beach Resort
172,Emerald,AU,73.35,overcast clouds,-23.5333,148.1667,The Irish Village
173,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
181,Lorengau,PG,81.05,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
190,Laguna,US,70.05,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
191,Fare,PF,78.37,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
192,Mwingi,KE,70.84,broken clouds,-0.9344,38.0601,Thorn Tree by The Address
193,Benguela,AO,73.31,broken clouds,-12.5763,13.4055,Hotel Praia Morena
195,Adrar,MR,85.75,overcast clouds,20.5022,-10.0711,
197,Morondava,MG,71.87,scattered clouds,-20.2833,44.2833,La Case Bambou
200,Estacion Coahuila,MX,90.97,clear sky,32.1939,-115.0017,carroceria y pintura Kikones
201,Aitape,PG,80.02,moderate rain,-3.1374,142.3475,
203,Kavieng,PG,84.76,light rain,-2.5744,150.7967,Nusa Island Retreat
206,Port Antonio,JM,84.11,scattered clouds,18.18,-76.4612,The Trident Hotel
208,Poum,NC,75.56,scattered clouds,-20.2333,164.0167,Gîte kajeon
212,Barentu,ER,77.81,scattered clouds,15.1139,37.5928,
214,Cabo San Lucas,MX,86.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
215,Gao,ML,84.99,broken clouds,16.6362,1.637,
216,Kidal,ML,85.6,overcast clouds,18.4411,1.4078,
217,Alta Floresta,BR,75.69,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
219,Vaitape,PF,78.73,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
221,Umm Lajj,SA,84.94,overcast clouds,25.0213,37.2685,Moon light Furnished Units
223,Rafraf,TN,70.12,broken clouds,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
224,Mana,GF,78.78,broken clouds,5.6592,-53.7767,LE SAMANA
227,Tiarei,PF,82.42,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
228,Prainha,BR,82.24,broken clouds,-1.8,-53.48,Casa Rocha
230,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
231,Hilo,US,81.25,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
232,Eagle Pass,US,89.24,clear sky,28.7091,-100.4995,"Holiday Inn Express & Suites Eagle Pass, an IHG Hotel"
233,Omboue,GA,75.97,light rain,-1.5746,9.2618,Hotel Olako
235,Manaus,BR,88.3,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
238,Sisophon,KH,75.25,overcast clouds,13.5859,102.9737,Pyramid Hotel
243,Inhambane,MZ,70.0,scattered clouds,-23.865,35.3833,Oceano
244,Veraval,IN,75.9,few clouds,20.9,70.3667,Lords Inn Somnath
250,Balabac,PH,82.4,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
252,Kang,BW,75.04,clear sky,-23.6752,22.7876,Kang Ultra Stop
257,Aripuana,BR,79.77,overcast clouds,-9.1667,-60.6333,
259,Juan Aldama,MX,73.96,few clouds,24.2908,-103.3944,Hotel Morales
260,Port Blair,IN,79.86,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
261,Tabuk,PH,70.32,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
263,Belgaum,IN,72.18,overcast clouds,15.8667,74.5,Mayur World Travels
267,Adre,TD,83.7,broken clouds,13.4667,22.2,
269,Cantagallo,CO,80.19,broken clouds,7.376,-73.9196,Apartahotel Altamira
272,Dori,BF,89.24,broken clouds,14.0354,-0.0345,Hôtel Liptako
274,Basco,PH,81.03,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
276,Pochutla,MX,85.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
277,Bandarbeyla,SO,78.46,scattered clouds,9.4942,50.8122,JABIR HOTEL
278,Ambon,ID,75.34,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
280,Bandiagara,ML,89.83,broken clouds,14.3501,-3.6104,Hotel de la Falaise
281,Lompoc,US,72.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
283,Kahului,US,84.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
285,Poya,NC,77.5,clear sky,-21.35,165.15,
287,Murray Bridge,AU,72.48,few clouds,-35.1167,139.2667,Balcony On Sixth Lodge
289,Nakhon Thai,TH,72.64,overcast clouds,17.1006,100.8374,Phet resort
294,Kayes,ML,86.58,broken clouds,14.0,-11.0,
295,Odweyne,SO,73.94,overcast clouds,9.4092,45.064,Eng Hiirey House
297,Quelimane,MZ,78.75,few clouds,-17.8786,36.8883,Hotel Flamingo
303,Banikoara,BJ,78.84,overcast clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
305,Itarema,BR,80.33,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
308,Mahibadhoo,MV,82.94,scattered clouds,3.7833,72.9667,Omadhoo Inn
310,Faanui,PF,78.73,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
314,Ures,MX,89.53,overcast clouds,29.4333,-110.4,Hotel HACIENDA San Francisco
316,Puerto Del Rosario,ES,71.35,broken clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
317,Kalmunai,LK,78.24,broken clouds,7.4167,81.8167,VS Villa
318,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
319,Bulawayo,ZW,70.81,clear sky,-20.15,28.5833,4 On Housman Backpackers
322,Ayame,CI,74.88,moderate rain,5.6083,-3.1563,Hotel Bossan
335,Port-Gentil,GA,78.76,light rain,-0.7193,8.7815,Fengshui Residence
338,Karoi,ZW,71.74,few clouds,-16.8099,29.6925,Chikangwe Guest houses
341,Mocuba,MZ,72.63,scattered clouds,-16.8392,36.9856,Phama Lodge
342,Amli,IN,72.03,few clouds,20.2833,73.0167,Hotel Soubhagya Inn
343,Tabou,CI,77.14,moderate rain,4.423,-7.3528,hotêl doufoulougou
346,Ugoofaaru,MV,81.46,overcast clouds,5.6667,73.0,Ungoofaaru Inn
353,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
355,Tomatlan,MX,84.65,few clouds,19.9333,-105.25,El Salvial
356,Ardmore,US,73.65,clear sky,34.1743,-97.1436,"Motel 6 Ardmore, OK"
357,El Cobre,CU,81.84,scattered clouds,20.0489,-75.9469,Hotel El Cobre
359,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
360,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
363,Mangrol,IN,75.96,few clouds,21.1167,70.1167,Hotel The Royal Honours
366,Chirongui,YT,78.73,clear sky,-12.9319,45.1483,La Villa Mahatsara
370,Atar,MR,84.16,clear sky,20.5169,-13.0499,Oumou Elghoura
371,Victoria,HK,75.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
372,Isangel,VU,78.8,broken clouds,-19.55,169.2667,Tanna Lodge
373,Saint George,US,79.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
379,Wanning,CN,75.85,light rain,18.8003,110.3967,Paradise Hotel
385,Gushikawa,JP,70.83,clear sky,26.3544,127.8686,Kirari Guest House
386,Caravelas,BR,75.42,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
392,Alofi,NU,75.09,light rain,-19.0595,-169.9187,Taloa Heights
393,Guerrero Negro,MX,71.42,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
395,Mineros,BO,90.99,broken clouds,-17.1167,-63.2333,Colpacaranda Eco Resort
399,Hambantota,LK,77.9,scattered clouds,6.1241,81.1185,Bungalow 63
401,Obera,AR,74.32,overcast clouds,-27.4871,-55.1199,CABAÑAS DORALIA
404,Coro,VE,80.76,overcast clouds,11.4045,-69.6734,Federal
416,Praia Da Vitoria,PT,70.05,scattered clouds,38.7333,-27.0667,Hotel Branco I
418,Pundaguitan,PH,81.88,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
419,Ndola,ZM,70.63,scattered clouds,-12.9587,28.6366,Chabanga Lodge iSpot
423,Buloh Kasap,MY,76.91,overcast clouds,2.5536,102.764,Teratak Ixora Segamat
426,Kutum,SD,76.69,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
428,Kudahuvadhoo,MV,82.31,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
429,Mumford,GH,79.29,light rain,5.2618,-0.759,Spanish Villa
431,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
435,Oriximina,BR,81.41,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
436,Mayumba,GA,77.05,overcast clouds,-3.432,10.6554,LIKWALE LODGE
437,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
444,Amuntai,ID,73.51,overcast clouds,-2.4177,115.2494,Hotel Balqis
445,Itupiranga,BR,81.3,broken clouds,-5.1347,-49.3267,Hotel Panorama
447,Pringsewu,ID,74.26,overcast clouds,-5.3582,104.9744,Urban Style by Front One
453,Mareeba,AU,82.44,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
455,Namatanai,PG,83.21,light rain,-3.6667,152.4333,Seagulls Inn Namatani
456,Kisangani,CD,70.63,light rain,0.5167,25.2,Grand Ramela Hotel
458,Carlsbad,US,78.1,clear sky,33.1581,-117.3506,Carlsbad Inn Beach Resort
459,Vallenar,CL,70.72,broken clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
461,Santa Cruz De La Palma,ES,71.13,clear sky,28.6835,-17.7642,H10 Taburiente Playa
464,Senador Guiomard,BR,87.55,overcast clouds,-10.1522,-67.7392,Paraíso Hotel
465,San Pedro,PH,77.36,overcast clouds,14.35,121.0167,Villa Veronica Resort Private Pool
466,Apastepeque,SV,80.85,broken clouds,13.6667,-88.7833,Posada Don Pablito
468,Areia Branca,BR,82.6,few clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
470,Acajutla,SV,91.74,broken clouds,13.5928,-89.8275,asi es
472,Amahai,ID,80.67,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
473,Beloha,MG,71.92,light rain,-25.1667,45.05,
477,Elat,IL,75.04,clear sky,29.5581,34.9482,Club Hotel Eilat
482,Taoudenni,ML,81.32,clear sky,22.6783,-3.9836,
485,Atambua,ID,79.16,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
486,Dumabato,PH,71.56,overcast clouds,16.3167,121.7,JBT MOUNTAIN VIEW RECREATIONAL PLACE
487,Meulaboh,ID,75.38,light rain,4.1363,96.1285,Kost Pria
489,Pangkalanbuun,ID,74.41,light rain,-2.6833,111.6167,Grand Kecubung Hotel
491,Kaohsiung,TW,75.04,scattered clouds,22.6163,120.3133,御宿商旅-中山館
492,Hobyo,SO,80.22,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
499,Upata,VE,71.51,overcast clouds,8.0086,-62.3989,Posada Villa Nela
502,Vila Velha,BR,71.55,light rain,-20.3297,-40.2925,Quality Suites Vila Velha
503,Nhulunbuy,AU,84.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
504,Thung Song,TH,81.45,broken clouds,8.1645,99.6804,Jasmine Resort And Spa
507,Merced,US,72.05,overcast clouds,37.1666,-120.7516,
508,Diamantino,BR,76.66,overcast clouds,-14.4086,-56.4461,Hotel Delta
509,Vao,NC,71.82,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
514,Asyut,EG,77.18,clear sky,27.181,31.1837,Florence Hotel Assiut
515,Grand Gaube,MU,72.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
517,Parakou,BJ,75.43,overcast clouds,9.3372,2.6303,Benin Metropole Hotel
522,Sakakah,SA,78.37,overcast clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
525,Sungairaya,ID,78.57,overcast clouds,0.7,108.9,Mess P.Milu
528,Monrovia,LR,78.57,moderate rain,6.3005,-10.7969,Sunset Inn
529,Kavaratti,IN,81.09,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
530,Machaneng,BW,72.57,clear sky,-23.1862,27.4886,Matswelo Hotel
531,Altagracia De Orituco,VE,72.66,broken clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
534,Goya,AR,85.86,broken clouds,-29.14,-59.2626,Apart Costanera Goya
542,Viesca,MX,84.18,clear sky,25.35,-102.8,LA VIEZCA (Parque Magico)
545,Guamuchil,MX,91.74,few clouds,25.4667,-108.1,Hotel Heredia
546,Waingapu,ID,81.54,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
547,Nuevo Progreso,MX,83.59,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
550,Santa Rosa,PH,78.12,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
552,Banjar,ID,76.91,overcast clouds,-8.19,114.9675,The Hamsa Resort
555,Bosaso,SO,79.77,few clouds,11.2842,49.1816,Red Sea Hotel
557,Koumac,NC,77.77,scattered clouds,-20.5667,164.2833,Le Monitel
558,Puerto Colombia,CO,73.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
560,Amnat Charoen,TH,71.02,overcast clouds,15.9167,104.75,หอพักนักศึกษา
562,Panguna,PG,79.97,overcast clouds,-6.3164,155.4848,
567,Waddan,LY,70.7,broken clouds,29.1614,16.139,محل الشريف محمد العايب
568,Tessalit,ML,83.43,few clouds,20.1986,1.0114,
569,Lhokseumawe,ID,76.73,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
571,Micheweni,TZ,78.64,clear sky,-4.9667,39.8333,
572,Ustupo,PA,78.48,overcast clouds,9.1333,-77.9333,
574,Doha,QA,78.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
575,Coihaique,CL,71.55,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
577,Abu Kamal,SY,72.14,overcast clouds,34.4506,40.9171,محطة التلفاز
582,Maues,BR,80.04,broken clouds,-3.3836,-57.7186,Hotel Miramar
586,Ponta Delgada,PT,73.51,mist,37.7333,-25.6667,Vila Nova Hotel
592,Noumea,NC,76.98,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
593,San,ML,88.65,broken clouds,13.3034,-4.8956,Hôtel Teriya
596,Victor Harbor,AU,73.72,clear sky,-35.5667,138.6167,McCracken Country Club
599,Valentin Gomez Farias,MX,73.94,overcast clouds,28.2167,-106.5833,
603,Sao Joao Da Barra,BR,70.95,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
607,Rameswaram,IN,81.68,overcast clouds,9.2833,79.3,Daiwik Hotels Rameswaram
609,Santa Cruz,BO,89.06,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
610,Mpika,ZM,70.61,broken clouds,-11.8343,31.4529,Melodies Lodge
613,Brazzaville,CG,80.91,overcast clouds,-4.2658,15.2832,Hotel Muesse
618,Mackay,AU,78.78,broken clouds,-21.15,149.2,International Lodge Motel
622,Raga,SS,75.74,scattered clouds,8.4596,25.678,
625,Mitsamiouli,KM,78.33,clear sky,-11.3847,43.2844,Foyer ADM
630,Wamba,NG,74.43,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
632,Ciudad Bolivar,VE,79.45,overcast clouds,8.1222,-63.5497,Hotel Edi
637,Formosa Do Rio Preto,BR,79.83,overcast clouds,-11.0483,-45.1931,Porto Center Hotel
643,Kundiawa,PG,74.14,overcast clouds,-6.0167,144.9667,Pari
646,Algiers,DZ,73.22,few clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
648,Macau,MO,76.06,scattered clouds,22.2006,113.5461,Grand Emperor Hotel
653,Cukai,MY,77.0,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
660,Port Hedland,AU,71.65,broken clouds,-20.3167,118.5667,The Esplanade Hotel
665,Ancud,CL,71.13,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
666,Port Keats,AU,84.61,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
667,Carauari,BR,80.01,light rain,-4.8828,-66.8958,Hotel Fellip
668,Sao Gabriel Da Cachoeira,BR,77.81,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
669,Canton,CN,71.01,overcast clouds,23.1167,113.25,Guangzhou Hotel
670,Buraydah,SA,70.25,scattered clouds,26.326,43.975,فندق راحة السلام
