City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yumen,CN,2021-10-29 06:10:46,40.2833,97.2,54.27,20,50,5.48
1,Yar-Sale,RU,2021-10-29 06:10:47,66.8333,70.8333,23.65,96,100,12.12
2,Belaya Gora,RU,2021-10-29 06:10:48,68.5333,146.4167,3.7,97,100,1.77
3,Busselton,AU,2021-10-29 06:10:48,-33.65,115.3333,62.04,45,47,5.17
4,Pietersburg,ZA,2021-10-29 06:10:50,-23.9045,29.4688,48.6,65,63,4.68
5,Port Hardy,CA,2021-10-29 06:10:50,50.6996,-127.4199,42.98,93,75,9.22
6,Sitka,US,2021-10-29 06:10:51,57.0531,-135.33,40.89,75,75,11.5
7,Si Satchanalai,TH,2021-10-29 06:10:51,17.5169,99.7598,83.57,74,52,4.14
8,Yellowknife,CA,2021-10-29 06:09:01,62.456,-114.3525,33.42,100,95,1.99
9,Kapaa,US,2021-10-29 06:10:52,22.0752,-159.319,78.78,97,75,6.91
10,Saskylakh,RU,2021-10-29 06:10:53,71.9167,114.0833,-13.59,100,98,5.03
11,Punta Arenas,CL,2021-10-29 06:08:03,-53.15,-70.9167,51.91,71,90,17.27
12,Burnie,AU,2021-10-29 06:10:54,-41.0667,145.9167,56.91,63,100,19.86
13,Bredasdorp,ZA,2021-10-29 06:10:54,-34.5322,20.0403,67.28,62,49,6.58
14,Ushuaia,AR,2021-10-29 06:07:52,-54.8,-68.3,55.06,47,20,3.44
15,Shingu,JP,2021-10-29 06:10:56,33.7333,135.9833,65.8,49,0,5.53
16,Fayaoue,NC,2021-10-29 06:06:16,-20.65,166.5333,75.45,72,0,14.79
17,Coahuayana,MX,2021-10-29 06:10:56,18.7333,-103.6833,76.86,92,8,2.86
18,Kajaani,FI,2021-10-29 06:08:38,64.2273,27.7285,46.45,100,90,6.91
19,Vokhma,RU,2021-10-29 06:10:57,58.9303,46.7586,25.88,65,68,4.41
20,Duluth,US,2021-10-29 06:08:40,46.7833,-92.1066,48.34,91,90,8.05
21,Hobart,AU,2021-10-29 06:08:21,-42.8794,147.3294,46.26,91,75,4.0
22,Ishigaki,JP,2021-10-29 06:10:58,24.3448,124.1572,75.4,61,5,11.99
23,Provideniya,RU,2021-10-29 06:10:58,64.3833,-173.3,15.91,67,90,15.66
24,Maturin,VE,2021-10-29 06:10:59,9.75,-63.1767,71.91,98,98,3.29
25,Malindi,KE,2021-10-29 06:10:59,-3.2175,40.1191,81.93,70,24,8.68
26,Khatanga,RU,2021-10-29 06:11:00,71.9667,102.5,-15.56,100,92,4.52
27,Victoria,HK,2021-10-29 06:10:56,22.2855,114.1577,84.25,83,35,14.65
28,Yulara,AU,2021-10-29 06:11:01,-25.2406,130.9889,87.64,9,2,6.91
29,Thoen,TH,2021-10-29 06:10:16,17.6129,99.2161,82.56,90,78,2.82
30,Hilo,US,2021-10-29 06:06:13,19.7297,-155.09,71.33,80,1,4.61
31,Erenhot,CN,2021-10-29 06:11:02,43.6475,111.9767,54.64,24,23,15.66
32,Vostok,RU,2021-10-29 06:11:03,46.4856,135.8833,43.5,56,1,3.78
33,Airai,TL,2021-10-29 06:11:04,-8.9266,125.4092,74.97,60,86,2.53
34,Springdale,US,2021-10-29 06:11:04,36.1867,-94.1288,47.93,96,90,18.01
35,Chokurdakh,RU,2021-10-29 06:11:05,70.6333,147.9167,-2.13,93,100,4.0
36,Salinopolis,BR,2021-10-29 06:11:05,-0.6136,-47.3561,77.41,87,68,6.46
37,Puerto Ayora,EC,2021-10-29 06:11:06,-0.7393,-90.3518,69.35,88,94,9.28
38,Faanui,PF,2021-10-29 06:11:06,-16.4833,-151.75,76.98,87,97,16.28
39,Tiksi,RU,2021-10-29 06:11:07,71.6872,128.8694,11.17,94,100,4.74
40,Husavik,IS,2021-10-29 06:11:07,66.0449,-17.3389,40.21,97,100,22.57
41,Khandyga,RU,2021-10-29 06:11:08,62.6667,135.6,19.96,92,100,6.49
42,Isangel,VU,2021-10-29 06:11:08,-19.55,169.2667,77.2,80,35,11.54
43,Arraial Do Cabo,BR,2021-10-29 06:11:09,-22.9661,-42.0278,70.75,91,100,13.09
44,Malakal,SS,2021-10-29 06:11:09,9.5334,31.6605,82.67,59,19,1.72
45,Bubaque,GW,2021-10-29 06:11:10,11.2833,-15.8333,80.98,69,88,9.08
46,Cleveland,US,2021-10-29 06:08:32,41.4995,-81.6954,57.38,92,90,9.22
47,Rantepao,ID,2021-10-29 06:11:11,-2.9701,119.8978,78.21,85,61,2.77
48,Launceston,AU,2021-10-29 06:12:11,-41.45,147.1667,54.81,71,90,3.0
49,Rikitea,PF,2021-10-29 06:12:12,-23.1203,-134.9692,75.51,80,32,14.94
50,Mayor Pablo Lagerenza,PY,2021-10-29 06:12:13,-19.9309,-60.7718,82.6,46,74,6.8
51,Mataura,NZ,2021-10-29 06:12:13,-46.1927,168.8643,62.51,73,64,3.24
52,Mogadishu,SO,2021-10-29 06:12:14,2.0371,45.3438,81.37,72,53,7.2
53,Cairns,AU,2021-10-29 06:11:13,-16.9167,145.7667,90.95,63,15,10.36
54,Torbay,CA,2021-10-29 06:12:15,47.6666,-52.7314,39.58,93,90,14.97
55,Alofi,NU,2021-10-29 06:12:16,-19.0595,-169.9187,77.14,68,13,22.06
56,Hermanus,ZA,2021-10-29 06:12:16,-34.4187,19.2345,67.8,71,6,6.93
57,Barrow,US,2021-10-29 06:12:17,71.2906,-156.7887,-0.38,85,1,12.66
58,Nome,US,2021-10-29 06:12:17,64.5011,-165.4064,30.27,59,90,19.57
59,Komsomolskiy,UZ,2021-10-29 06:12:18,40.4272,71.7189,50.72,62,40,4.61
60,Tuktoyaktuk,CA,2021-10-29 06:12:18,69.4541,-133.0374,25.0,94,100,3.4
61,Qaanaaq,GL,2021-10-29 06:12:19,77.484,-69.3632,14.65,77,79,6.93
62,Paamiut,GL,2021-10-29 06:12:19,61.994,-49.6678,33.46,81,100,8.52
63,Noshiro,JP,2021-10-29 06:12:20,40.2039,140.0242,56.8,65,85,9.66
64,Mar Del Plata,AR,2021-10-29 06:12:21,-38.0023,-57.5575,65.08,83,0,1.01
65,Bethel,US,2021-10-29 06:12:21,41.3712,-73.414,49.5,90,1,0.0
66,Fort Nelson,CA,2021-10-29 06:12:22,58.8053,-122.7002,32.07,59,100,5.14
67,Tura,IN,2021-10-29 06:12:22,25.5198,90.2201,82.89,57,2,2.55
68,Kelamangalam,IN,2021-10-29 06:12:23,12.6,77.85,81.36,77,100,9.1
69,New Norfolk,AU,2021-10-29 06:12:23,-42.7826,147.0587,45.91,70,100,5.01
70,Avarua,CK,2021-10-29 06:12:24,-21.2078,-159.775,73.45,73,40,6.91
71,Kruisfontein,ZA,2021-10-29 06:12:25,-34.0033,24.7314,67.89,86,86,19.48
72,Port Alfred,ZA,2021-10-29 06:12:26,-33.5906,26.891,75.29,69,62,6.17
73,Hailey,US,2021-10-29 06:12:26,43.5196,-114.3153,39.9,71,31,7.0
74,Ponta Do Sol,PT,2021-10-29 06:12:27,32.6667,-17.1,69.12,72,90,7.94
75,Hithadhoo,MV,2021-10-29 06:12:27,-0.6,73.0833,83.91,72,56,15.03
76,Dingle,PH,2021-10-29 06:12:28,10.9995,122.6711,84.13,78,72,12.03
77,Honiara,SB,2021-10-29 06:12:29,-9.4333,159.95,84.85,77,54,5.82
78,Lavrentiya,RU,2021-10-29 06:12:29,65.5833,-171.0,15.64,91,100,7.34
79,Hasaki,JP,2021-10-29 06:12:30,35.7333,140.8333,66.29,53,68,25.72
80,Del Rio,US,2021-10-29 06:09:59,29.3627,-100.8968,59.43,44,1,0.0
81,Ilulissat,GL,2021-10-29 06:12:31,69.2167,-51.1,26.62,86,90,3.44
82,Hazleton,US,2021-10-29 06:12:31,40.9584,-75.9746,49.53,88,90,3.44
83,Castro,BR,2021-10-29 06:12:32,-24.7911,-50.0119,60.1,93,99,6.69
84,Tabanan,ID,2021-10-29 06:12:33,-8.5413,115.1252,88.2,77,100,6.22
85,Bathsheba,BB,2021-10-29 06:12:33,13.2167,-59.5167,79.41,78,40,9.22
86,Leningradskiy,RU,2021-10-29 06:12:34,69.3833,178.4167,-4.5,92,96,5.68
87,Severo-Kurilsk,RU,2021-10-29 06:08:58,50.6789,156.125,44.01,97,100,3.0
88,Jamestown,US,2021-10-29 06:07:38,42.097,-79.2353,57.07,74,90,5.99
89,Saldanha,ZA,2021-10-29 06:13:35,-33.0117,17.9442,62.01,86,71,10.98
90,Vallenar,CL,2021-10-29 06:13:36,-28.5708,-70.7581,65.75,52,83,1.16
91,East London,ZA,2021-10-29 06:13:36,-33.0153,27.9116,74.05,76,57,8.21
92,Oga,IT,2021-10-29 06:13:37,46.4631,10.347,40.28,53,77,5.08
93,Awbari,LY,2021-10-29 06:13:38,26.5921,12.7805,65.1,46,82,4.32
94,Dikson,RU,2021-10-29 06:13:38,73.5069,80.5464,9.23,87,100,6.44
95,Canakkale,TR,2021-10-29 06:13:38,40.0833,26.8333,52.41,63,96,17.34
96,Cidreira,BR,2021-10-29 06:13:39,-30.1811,-50.2056,67.35,85,51,16.6
97,Massakory,TD,2021-10-29 06:13:39,12.996,15.7293,81.95,17,92,6.78
98,Tshane,BW,2021-10-29 06:13:40,-24.0196,21.8684,70.3,67,18,13.02
99,Saint-Pierre,RE,2021-10-29 06:13:41,-21.3393,55.4781,76.19,87,75,18.41
100,Acapulco,MX,2021-10-29 06:11:17,16.8634,-99.8901,78.4,89,36,4.14
101,Norman Wells,CA,2021-10-29 06:13:41,65.282,-126.8329,23.52,95,100,5.59
102,Berlevag,NO,2021-10-29 06:13:42,70.8578,29.0864,37.35,75,75,12.66
103,Abu Samrah,SY,2021-10-29 06:13:43,35.3029,37.1841,63.09,58,95,8.86
104,Georgetown,MY,2021-10-29 06:13:01,5.4112,100.3354,89.89,73,20,11.5
105,Sorland,NO,2021-10-29 06:13:43,67.667,12.6934,46.26,76,75,11.5
106,Albany,US,2021-10-29 06:12:37,42.6001,-73.9662,43.16,93,23,1.83
107,Atuona,PF,2021-10-29 06:13:44,-9.8,-139.0333,77.99,72,12,17.45
108,Aykhal,RU,2021-10-29 06:13:45,66.0,111.5,3.7,95,100,9.84
109,Longyearbyen,SJ,2021-10-29 06:13:45,78.2186,15.6401,19.24,73,20,10.36
110,Bluff,NZ,2021-10-29 06:13:46,-46.6,168.3333,57.63,84,51,7.36
111,Esperance,AU,2021-10-29 06:13:47,-33.8667,121.9,58.1,58,79,11.48
112,Vardo,NO,2021-10-29 06:13:48,70.3705,31.1107,35.8,86,75,24.16
113,Provost,CA,2021-10-29 06:13:48,52.3501,-110.2683,42.26,29,95,9.08
114,Lebu,CL,2021-10-29 06:13:48,-37.6167,-73.65,51.73,86,64,14.9
115,Sabha,LY,2021-10-29 06:13:49,27.0377,14.4283,67.26,40,99,8.55
116,Armizonskoye,RU,2021-10-29 06:13:50,55.9461,67.6736,35.37,94,99,18.68
117,Manzanillo,CU,2021-10-29 06:13:30,20.3433,-77.1167,75.63,80,97,3.67
118,La Ronge,CA,2021-10-29 06:13:51,55.1001,-105.2842,36.03,67,23,7.65
119,Constitucion,CL,2021-10-29 06:13:51,-35.3333,-72.4167,54.61,75,6,10.96
120,Vestmannaeyjar,IS,2021-10-29 06:13:52,63.4427,-20.2734,44.33,81,100,13.29
121,Lompoc,US,2021-10-29 06:13:52,34.6391,-120.4579,71.56,81,1,4.61
122,Cabo San Lucas,MX,2021-10-29 06:13:53,22.8909,-109.9124,78.51,73,0,6.08
123,Paragominas,BR,2021-10-29 06:13:54,-2.9667,-47.4833,71.28,98,98,2.64
124,Bilibino,RU,2021-10-29 06:13:55,68.0546,166.4372,-19.16,95,41,3.98
125,Yarmouth,US,2021-10-29 06:13:55,41.7057,-70.2286,53.71,76,90,17.0
126,Ondangwa,NA,2021-10-29 06:13:56,-17.9167,15.95,74.34,55,32,8.37
127,Neiafu,TO,2021-10-29 06:13:57,-18.65,-173.9833,77.68,83,40,2.3
128,Alekseyevsk,RU,2021-10-29 06:13:57,57.8406,108.3492,30.49,42,36,7.65
129,Kaitangata,NZ,2021-10-29 06:13:58,-46.2817,169.8464,57.22,78,38,5.37
130,College,US,2021-10-29 06:09:42,64.8569,-147.8028,21.15,87,75,0.0
131,Ribeira Grande,PT,2021-10-29 06:13:59,38.5167,-28.7,70.95,89,89,31.21
132,Thompson,CA,2021-10-29 06:13:59,55.7435,-97.8558,40.39,86,30,8.57
133,Geraldton,AU,2021-10-29 06:14:00,-28.7667,114.6,79.12,33,0,23.02
134,Ugoofaaru,MV,2021-10-29 06:14:00,5.6667,73.0,81.23,76,95,9.73
135,Mecca,SA,2021-10-29 06:15:01,21.4267,39.8261,85.96,39,17,2.17
136,Nalut,LY,2021-10-29 06:15:02,30.3333,10.85,60.51,56,5,3.76
137,Oksovskiy,RU,2021-10-29 06:15:03,62.6062,39.8984,29.59,94,100,11.1
138,Sao Filipe,CV,2021-10-29 06:15:04,14.8961,-24.4956,77.13,81,71,10.71
139,Kailua,US,2021-10-29 06:13:48,21.4022,-157.7394,78.78,73,20,12.21
140,Sept-Iles,CA,2021-10-29 06:15:05,50.2001,-66.3821,40.71,57,0,6.91
141,Axim,GH,2021-10-29 06:15:06,4.8699,-2.2405,76.12,91,56,1.66
142,Vaini,TO,2021-10-29 06:15:06,-21.2,-175.2,75.36,88,75,4.61
143,Ambanja,MG,2021-10-29 06:15:07,-13.6833,48.45,82.33,55,12,2.59
144,Saint-Philippe,RE,2021-10-29 06:15:08,-21.3585,55.7679,78.35,90,77,6.96
145,Ahuimanu,US,2021-10-29 06:15:08,21.4447,-157.8378,78.51,72,20,9.22
146,Cherskiy,RU,2021-10-29 06:15:09,68.75,161.3,-10.21,90,78,2.77
147,Nekrasovka,RU,2021-10-29 06:15:09,48.3525,135.2325,51.82,40,0,13.42
148,Okhotsk,RU,2021-10-29 06:15:09,59.3833,143.3,28.35,83,99,6.2
149,Rosarito,MX,2021-10-29 06:15:10,32.3333,-117.0333,73.15,54,0,1.5
150,Itoman,JP,2021-10-29 06:15:11,26.1247,127.6694,79.57,49,0,8.05
151,Asuncion,PY,2021-10-29 06:15:11,-25.3007,-57.6359,72.45,50,0,3.38
152,Plettenberg Bay,ZA,2021-10-29 06:15:12,-34.0527,23.3716,61.07,94,84,9.24
153,Palauig,PH,2021-10-29 06:15:13,15.435,119.9045,85.3,62,68,6.42
154,Port Hedland,AU,2021-10-29 06:15:14,-20.3167,118.5667,87.85,42,5,21.85
155,Maua,BR,2021-10-29 06:15:14,-23.6678,-46.4614,66.36,90,100,2.35
156,Poronaysk,RU,2021-10-29 06:15:15,49.2167,143.1167,44.1,64,3,9.89
157,Cape Town,ZA,2021-10-29 06:15:16,-33.9258,18.4232,64.11,76,75,4.0
158,Bonthe,SL,2021-10-29 06:15:16,7.5264,-12.505,75.33,90,100,4.81
159,Mahebourg,MU,2021-10-29 06:15:17,-20.4081,57.7,73.69,94,40,9.22
160,Souillac,MU,2021-10-29 06:15:18,-20.5167,57.5167,73.78,94,40,9.22
161,Ayr,GB,2021-10-29 06:15:18,55.4627,-4.6339,52.92,100,75,3.44
162,Kavaratti,IN,2021-10-29 06:15:19,10.5669,72.642,81.59,75,98,5.91
163,Bambous Virieux,MU,2021-10-29 06:15:21,-20.3428,57.7575,73.65,94,40,9.22
164,Butaritari,KI,2021-10-29 06:15:22,3.0707,172.7902,82.6,72,1,13.06
165,Kilmallock,IE,2021-10-29 06:15:23,52.4,-8.5772,47.08,97,100,4.41
166,Asau,RO,2021-10-29 06:15:24,46.4333,26.4,45.75,71,2,0.94
167,Oneida,US,2021-10-29 06:15:24,43.2001,-75.4663,48.43,89,1,1.01
168,Haizhou,CN,2021-10-29 06:15:25,34.5817,119.1289,67.96,36,38,3.49
169,Krasnoselkup,RU,2021-10-29 06:15:25,65.7,82.4667,28.62,96,100,18.5
170,Natal,BR,2021-10-29 06:11:35,-5.795,-35.2094,75.85,88,40,2.3
171,Bengkulu,ID,2021-10-29 06:15:26,-3.8004,102.2655,85.64,65,81,9.55
172,Vysokopillya,UA,2021-10-29 06:15:27,47.4919,33.5306,48.58,81,48,7.67
173,Igualada,ES,2021-10-29 06:15:27,41.581,1.6172,59.32,91,99,1.01
174,Saint George,US,2021-10-29 06:15:28,37.1041,-113.5841,62.35,58,1,3.0
175,Hirtshals,DK,2021-10-29 06:15:29,57.5881,9.9592,46.22,88,11,14.36
176,Wanning,CN,2021-10-29 06:15:31,18.8003,110.3967,77.59,88,95,10.56
177,Moyobamba,PE,2021-10-29 06:15:32,-6.05,-76.9667,65.32,99,100,1.3
178,Amiens,FR,2021-10-29 06:12:59,49.9,2.3,52.27,74,73,16.87
179,Hofn,IS,2021-10-29 06:16:33,64.2539,-15.2082,43.5,84,100,15.23
180,Jalu,LY,2021-10-29 06:16:33,29.0331,21.5482,71.13,47,71,4.9
181,Sarny,UA,2021-10-29 06:16:34,51.338,26.6019,44.58,94,33,6.15
182,Atar,MR,2021-10-29 06:16:34,20.5169,-13.0499,74.19,44,99,6.24
183,Emba,KZ,2021-10-29 06:16:35,48.8264,58.1442,38.25,50,100,11.9
184,Coyaima,CO,2021-10-29 06:16:35,3.7994,-75.1947,73.02,80,38,3.49
185,Lasa,IT,2021-10-29 06:16:36,46.6166,10.7002,40.08,56,72,4.05
186,Port Elizabeth,ZA,2021-10-29 06:16:36,-33.918,25.5701,71.1,94,75,19.57
187,Solnechnyy,RU,2021-10-29 06:16:37,50.7214,136.6319,44.96,62,3,5.61
188,Portel,BR,2021-10-29 06:16:37,-1.9356,-50.8211,73.67,95,78,2.98
189,Urumqi,CN,2021-10-29 06:16:07,43.801,87.6005,54.55,35,0,2.24
190,Taltal,CL,2021-10-29 06:15:28,-25.4,-70.4833,58.17,81,35,1.99
191,Klaksvik,FO,2021-10-29 06:16:38,62.2266,-6.589,49.12,90,32,21.09
192,Meulaboh,ID,2021-10-29 06:16:39,4.1363,96.1285,85.19,71,93,6.4
193,Carnarvon,AU,2021-10-29 06:16:39,-24.8667,113.6333,75.27,46,0,23.02
194,Uribia,CO,2021-10-29 06:16:40,11.7139,-72.266,79.54,81,92,2.17
195,Aripuana,BR,2021-10-29 06:16:40,-9.1667,-60.6333,71.47,98,63,2.53
196,Upernavik,GL,2021-10-29 06:16:41,72.7868,-56.1549,21.47,58,100,5.01
197,A Coruna,ES,2021-10-29 06:16:41,43.3713,-8.396,57.88,89,20,3.0
198,Providencia,MX,2021-10-29 06:16:42,28.7167,-111.5833,66.25,50,0,7.34
199,Udachnyy,RU,2021-10-29 06:16:42,66.4167,112.4,5.07,93,100,16.4
200,Unai,BR,2021-10-29 06:14:26,-16.3575,-46.9061,70.95,58,59,2.17
201,Puerto Escondido,MX,2021-10-29 06:16:43,15.85,-97.0667,79.79,83,55,3.51
202,Saint-Georges,GD,2021-10-29 06:16:44,12.0564,-61.7485,78.48,89,20,5.75
203,Salalah,OM,2021-10-29 06:16:44,17.0151,54.0924,86.09,48,0,5.75
204,Kotelnikovo,RU,2021-10-29 06:16:45,47.6317,43.1461,48.25,78,100,7.18
205,Kavieng,PG,2021-10-29 06:16:45,-2.5744,150.7967,84.6,70,78,5.37
206,Shu,KZ,2021-10-29 06:16:46,43.5983,73.7614,50.32,58,98,5.91
207,Hami,CN,2021-10-29 06:16:46,42.8,93.45,58.57,24,6,2.48
208,Dobson,US,2021-10-29 06:12:01,36.3957,-80.7226,60.69,97,100,4.61
209,Semirom,IR,2021-10-29 06:16:47,31.4167,51.5667,53.35,35,45,4.61
210,Taywarah,AF,2021-10-29 06:16:48,33.35,64.4167,48.47,25,1,7.92
211,Manicore,BR,2021-10-29 06:16:49,-5.8092,-61.3003,74.08,90,71,1.16
212,Chuy,UY,2021-10-29 06:16:50,-33.6971,-53.4616,62.69,96,0,7.96
213,Mayo,US,2021-10-29 06:16:50,38.8876,-76.5119,59.04,88,75,18.99
214,Nemencine,LT,2021-10-29 06:16:51,54.85,25.4833,49.33,96,26,6.38
215,Melton Mowbray,GB,2021-10-29 06:16:53,52.7659,-0.8869,57.24,88,100,26.55
216,Hervey Bay,AU,2021-10-29 06:16:53,-25.2986,152.8535,81.01,72,77,18.97
217,Pisco,PE,2021-10-29 06:16:54,-13.7,-76.2167,60.85,88,0,10.36
218,Doha,QA,2021-10-29 06:14:55,25.2867,51.5333,88.11,58,0,11.5
219,Mumford,GH,2021-10-29 06:16:56,5.2618,-0.759,76.12,91,31,5.55
220,Maniitsoq,GL,2021-10-29 06:16:57,65.4167,-52.9,29.25,96,100,14.2
221,Juegang,CN,2021-10-29 06:16:59,32.3174,121.1855,72.97,56,6,7.78
222,Mersing,MY,2021-10-29 06:17:00,2.4312,103.8405,87.71,74,40,5.75
223,Baiquan,CN,2021-10-29 06:17:01,47.5833,126.0833,56.75,33,22,13.53
224,Botwood,CA,2021-10-29 06:17:03,49.1499,-55.3482,36.9,83,95,8.39
225,Ancud,CL,2021-10-29 06:17:04,-41.8697,-73.8203,49.53,92,100,3.02
226,Kungurtug,RU,2021-10-29 06:18:05,50.5994,97.5228,40.03,60,87,1.83
227,Ilo,PE,2021-10-29 06:18:05,-17.6394,-71.3375,64.0,83,82,5.39
228,Phek,IN,2021-10-29 06:18:05,25.6667,94.5,74.98,38,37,1.88
229,Kapit,MY,2021-10-29 06:18:06,2.0167,112.9333,82.83,85,100,2.39
230,Nanlong,CN,2021-10-29 06:18:07,31.3533,106.0631,65.62,65,80,4.5
231,Jiangyou,CN,2021-10-29 06:18:07,31.7667,104.7167,68.02,58,12,7.43
232,Jiutai,CN,2021-10-29 06:18:08,44.1525,125.8328,61.52,32,61,9.08
233,Maldonado,UY,2021-10-29 06:18:08,-34.6667,-54.9167,60.19,89,0,8.41
234,Manado,ID,2021-10-29 06:18:09,1.487,124.8455,90.37,58,40,4.61
235,Bonga,ET,2021-10-29 06:18:09,7.2833,36.2333,69.42,64,27,2.15
236,Pedernales,DO,2021-10-29 06:18:10,18.0384,-71.744,79.27,73,98,5.44
237,Beringovskiy,RU,2021-10-29 06:18:10,63.05,179.3167,6.71,80,16,4.41
238,Zyryanka,RU,2021-10-29 06:18:11,65.75,150.85,2.05,93,95,4.07
239,Sao Joao Da Barra,BR,2021-10-29 06:18:11,-21.6403,-41.0511,72.32,87,95,7.34
240,Nikolskoye,RU,2021-10-29 06:18:12,59.7035,30.7861,52.88,87,100,11.34
241,San Patricio,US,2021-10-29 06:18:12,28.017,-97.5169,69.69,33,0,8.9
242,Tosya,TR,2021-10-29 06:18:13,41.0155,34.0401,45.41,77,86,3.71
243,Clyde River,CA,2021-10-29 06:18:14,70.4692,-68.5914,27.54,93,95,10.11
244,Cedar City,US,2021-10-29 06:15:59,37.6775,-113.0619,45.39,75,1,3.44
245,Gaptsakh,RU,2021-10-29 06:18:15,41.4517,47.9303,45.46,51,0,2.64
246,Luwuk,ID,2021-10-29 06:18:15,-0.9516,122.7875,87.35,66,67,4.88
247,Kodiak,US,2021-10-29 06:18:16,57.79,-152.4072,34.74,66,9,1.5
248,Nemuro,JP,2021-10-29 06:14:22,43.3236,145.575,49.28,77,99,24.67
249,Fritzlar,DE,2021-10-29 06:18:16,51.1333,9.2833,45.9,93,75,8.05
250,Nyuksenitsa,RU,2021-10-29 06:18:17,60.4128,44.2397,27.95,64,100,8.68
251,Huarmey,PE,2021-10-29 06:18:18,-10.0681,-78.1522,63.0,87,60,8.86
252,Bad Kissingen,DE,2021-10-29 06:18:19,50.2,10.0833,42.8,99,6,2.24
253,Quetta,PK,2021-10-29 06:16:17,30.199,67.0097,64.56,26,1,5.14
254,Port-De-Bouc,FR,2021-10-29 06:18:20,43.4,4.9833,60.96,63,75,10.36
255,Ziro,IN,2021-10-29 06:18:20,27.6333,93.8333,68.74,33,0,2.66
256,Yining,CN,2021-10-29 06:18:20,29.0361,114.5636,66.38,68,99,2.8
257,Palmer,US,2021-10-29 06:18:21,42.1584,-72.3287,40.17,87,1,0.0
258,Talnakh,RU,2021-10-29 06:18:21,69.4865,88.3972,3.15,86,100,9.28
259,Vieux-Habitants,GP,2021-10-29 06:18:22,16.0589,-61.7659,71.17,77,10,6.96
260,Dwarka,IN,2021-10-29 06:18:22,22.2394,68.9678,85.21,40,9,14.85
261,Tomatlan,MX,2021-10-29 06:18:23,19.9333,-105.25,74.89,94,65,2.84
262,Long,TH,2021-10-29 06:18:23,18.0761,99.8326,88.2,80,77,4.83
263,Tau,NO,2021-10-29 06:18:24,59.0667,5.9,55.15,87,100,14.58
264,Westport,US,2021-10-29 06:18:24,41.1415,-73.3579,53.74,87,1,5.99
265,Poso,ID,2021-10-29 06:18:25,-1.3959,120.7524,85.68,71,80,5.12
266,Cotmeana,RO,2021-10-29 06:18:26,44.9667,24.6167,43.83,56,46,3.47
267,Kutum,SD,2021-10-29 06:18:26,14.2,24.6667,72.5,15,21,7.07
268,Tasiilaq,GL,2021-10-29 06:18:27,65.6145,-37.6368,24.96,66,4,5.48
269,Aklavik,CA,2021-10-29 06:18:27,68.2191,-135.0107,25.63,94,98,4.54
270,Sisimiut,GL,2021-10-29 06:19:28,66.9395,-53.6735,30.52,94,100,10.07
271,Ucluelet,CA,2021-10-29 06:15:36,48.9329,-125.5528,46.96,91,100,3.53
272,Cheney,US,2021-10-29 06:19:29,47.4874,-117.5758,60.75,84,90,19.57
273,Sistranda,NO,2021-10-29 06:19:30,63.7256,8.834,53.91,91,100,10.36
274,Belmonte,BR,2021-10-29 06:19:30,-15.8631,-38.8828,75.7,83,22,8.08
275,Sabang,ID,2021-10-29 06:17:08,5.8933,95.3214,83.17,75,89,3.94
276,Korosladany,HU,2021-10-29 06:19:31,46.9667,21.0833,37.98,54,37,2.46
277,Taoudenni,ML,2021-10-29 06:19:31,22.6783,-3.9836,78.76,28,88,6.42
278,Hammerfest,NO,2021-10-29 06:19:32,70.6634,23.6821,40.73,87,75,3.44
